NCESSchoolID,inputAddress,matchIndicator,matchType,outputAddress,lonLat,tigerLineId,unkDontCare
"210372000250","101 Summit Street, Richmond, KY, 40475","Match","Exact","101 Summit St, RICHMOND, KY, 40475","-84.29681,37.745155","31985825","R"
"220054000440","2330 Aspenwood Ave, Baton Rouge, LA, 70816","Match","Non_Exact","2330 Aspenwood Dr, BATON ROUGE, LA, 70816","-91.01298,30.435823","92194723","R"
"60003603755","3301 Fong Ranch Rd., Sacramento, CA, 95834","Match","Exact","3301 Fong Ranch Rd, SACRAMENTO, CA, 95834","-121.49336,38.633774","627653418","R"
"170993004277","4520 S Kedzie Ave, Chicago, IL, 60632","Match","Exact","4520 S Kedzie Ave, CHICAGO, IL, 60632","-87.70412,41.811275","111803904","R"
"60242913878","2861 Womble Rd., San Diego, CA, 92106","Match","Exact","2861 Womble Rd, SAN DIEGO, CA, 92106","-117.21772,32.734932","195666868","R"
"110007300395","510 Webster St NW, Washington, DC, 20011","Match","Exact","510 Webster St NW, WASHINGTON, DC, 20011","-77.02,38.944157","76223609","L"
"110007300393","1503 East Capitol St SE, Washington, DC, 20003","Match","Exact","1503 E Capitol St SE, WASHINGTON, DC, 20003","-76.9836,38.88979","632575611","R"
"220054000438","9765 Cuyhanga Pkwy, Baton Rouge, LA, 70815","Match","Exact","9765 Cuyhanga Pkwy, BATON ROUGE, LA, 70815","-91.07716,30.464401","92190345","L"
"220054000435","819 Trammel Drive, Baton Rouge, LA, 70815","Match","Non_Exact","819 Trammell Dr, BATON ROUGE, LA, 70815","-91.03839,30.451927","92191800","L"
"220054000434","9002 Whitehall, Baton Rouge, LA, 70806","Match","Non_Exact","9002 Whitehall Ave, BATON ROUGE, LA, 70806","-91.089554,30.43488","92190014","R"
"220054000436","575 West Roosevelt, Baton Rouge, LA, 70802","Match","Non_Exact","575 W Roosevelt St, BATON ROUGE, LA, 70802","-91.18331,30.421673","92183193","L"
"550960001306","949 N 9th St, Milwaukee, WI, 53233","Match","Exact","949 N 9th St, MILWAUKEE, WI, 53233","-87.92306,43.0423","77741693","L"
"220117000856","2401 Humanity Street, New Orleans, LA, 70122","Match","Exact","2401 Humanity St, NEW ORLEANS, LA, 70122","-90.05231,29.992275","191715353","L"
"170993000682","6311 S Calumet Ave, Chicago, IL, 60637","Match","Exact","6311 S Calumet Ave, CHICAGO, IL, 60637","-87.61723,41.778934","111771188","L"
"170993000681","2148 N Long Ave, Chicago, IL, 60639","Match","Exact","2148 N Long Ave, CHICAGO, IL, 60639","-87.76096,41.92024","111891627","L"
"170993000687","3014 W 39th Pl, Chicago, IL, 60632","Match","Exact","3014 W 39th Pl, CHICAGO, IL, 60632","-87.70001,41.821785","111803805","R"
"391001005367","3836 State Route 41 NW, Washington, OH, 43160","Match","Non_Exact","3836 State Rte 41 NW, WASHINGTON COURT HOUSE, OH, 43160","-83.473915,39.576065","119059769","R"
"170993000689","3810 W 81st Pl, Chicago, IL, 60652","Match","Exact","3810 W 81st Pl, CHICAGO, IL, 60652","-87.71723,41.74501","111817126","R"
"170993000693","2700 S California Av, Chicago, IL, 60608","Match","Exact","2700 S California Ave, CHICAGO, IL, 60608","-87.695145,41.84114","605628736","R"
"170993000692","7030 N Sacramento Av, Chicago, IL, 60645","Match","Exact","7030 N Sacramento Ave, CHICAGO, IL, 60645","-87.70449,42.011196","605262037","L"
"62547003794","630 S. Leonard St., Los Angeles, CA, 90022","Tie"
"170993000695","2131 W Monroe St, Chicago, IL, 60612","Match","Exact","2131 W Monroe St, CHICAGO, IL, 60612","-87.679886,41.879948","616786578","L"
"170993000694","4225 S Lake Park Ave, Chicago, IL, 60653","Match","Exact","4225 S Lake Park Ave, CHICAGO, IL, 60653","-87.59947,41.817787","111771474","L"
"170993000697","2450 W Rice St, Chicago, IL, 60622","Match","Exact","2450 W Rice St, CHICAGO, IL, 60622","-87.68817,41.896652","616787197","R"
